"siteid","gvillcode","offyr","offmon","offday","offby","fgyr","fgmon","fgday","fgby","intyear","intmon","intday","intby","entyear","entmon","entday","entby"
"302021","302201",2007,4,30,14,2007,5,2,14,2007,5,14,14,2008,1,4,14
"302022","302202",2007,4,23,14,2007,5,1,14,2007,5,10,14,2008,1,4,14
"302022","302203",2007,4,26,14,2007,5,3,14,2007,5,14,14,2008,1,4,14
"302022","302204",2007,4,26,14,2007,5,3,14,2007,5,10,14,2008,1,4,14
"302021","302205",2007,4,30,14,2007,5,2,14,2007,5,14,14,2008,1,4,14
"302022","302206",2007,4,23,14,2007,5,1,14,2007,5,10,14,2008,1,4,14
"203011","203101",2006,11,27,1,2006,11,27,1,2006,11,27,1,2009,11,15,1
"203011","203102",2006,11,26,1,2006,11,26,1,2006,11,26,1,2009,11,10,1
"203011","203103",2006,11,28,1,2006,11,28,1,2006,11,28,1,2009,11,15,1
"102021","102201",2006,6,5,1,2006,6,6,1,2006,6,7,1,2007,7,1,2
"102021","102202",2006,6,10,1,2006,6,11,1,2006,6,11,1,2008,2,18,1
"102021","102203",2006,6,25,1,2006,6,25,1,2006,6,25,1,2008,3,11,1
"102021","102204",2006,7,12,1,2006,7,13,1,2006,7,14,1,2008,5,9,1
"102021","102205",2006,7,17,1,2006,7,17,1,2006,7,18,1,2008,8,3,1
"102021","102206",2006,8,12,1,2006,8,12,1,2006,8,12,1,2008,8,3,1
"102021","102207",2006,8,11,1,2006,8,11,1,2006,8,11,1,2008,8,3,1
"102021","102208",2006,8,31,1,2006,8,31,1,2006,9,1,1,2008,8,3,1
"106031","106301",2006,8,15,1,2006,8,15,1,2006,8,15,1,2007,9,27,1
"106031","106302",2006,8,20,1,2006,8,27,1,2006,8,21,1,2007,10,30,1
"106031","106303",2006,9,25,1,2006,9,30,1,2006,9,26,1,2007,12,6,1
"106031","106304",2006,10,20,1,2006,10,22,1,2006,10,20,1,2007,12,16,1
"102031","102301",2006,8,5,1,2006,12,21,1,2006,12,21,1,2009,9,24,1
"102031","102302",2006,12,7,1,2007,4,10,1,2007,4,10,1,2009,9,22,1
"102031","102303",2006,10,5,1,2007,5,13,1,2007,5,13,1,2009,9,28,1
"102031","102304",2006,10,5,1,2006,12,17,1,2007,4,29,1,2009,9,28,1
"102031","102305",2006,12,19,1,2007,4,28,1,2007,4,28,1,2009,9,28,1
"102031","102306",2006,12,10,1,2006,12,20,1,2007,5,5,1,2009,9,28,1
"102031","102307",2006,10,10,1,2006,12,18,1,2007,4,30,1,2009,9,28,1
"106041","106401",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"106041","106402",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"106041","106403",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"106041","106404",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"106041","106405",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"106041","106406",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"106041","106407",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"106041","106408",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"106041","106409",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"106041","106410",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2010,5,7,1
"103011","103101",2007,5,27,9,-8,-8,-8,-8,-8,-8,-8,-8,2010,4,27,1
"103011","103102",2007,4,26,9,2007,4,10,1,2007,-8,-8,-8,2010,4,27,1
"103011","103103",2007,5,26,9,-8,-8,-8,-8,-8,-8,-8,-8,2010,4,27,1
"103011","103104",2007,5,6,9,-8,-8,-8,-8,2007,5,6,9,2010,4,29,1
"103011","103105",2007,5,1,9,-8,-8,-8,-8,2007,5,20,9,2010,4,29,1
"103011","103106",2007,5,1,9,2006,9,23,1,2007,5,2,9,2010,4,27,1
"103011","103107",2007,4,29,9,2006,9,24,1,2007,4,30,9,2010,4,27,1
"103011","103108",2007,4,23,9,2006,9,29,1,2007,5,1,9,2010,4,27,1
"103011","103109",2007,5,1,9,2006,9,23,1,2007,5,29,9,2010,4,27,1
"103011","103110",2007,4,19,9,2007,10,10,1,2007,4,19,1,2010,4,29,1
"103011","103111",2007,5,20,9,2007,4,22,1,2007,5,6,9,2010,4,29,1
"103011","103112",2007,4,4,9,2007,8,27,1,2007,4,13,9,2010,4,29,1
"103011","103113",2007,4,12,9,2007,4,12,1,2007,4,12,1,2010,4,29,1
"103011","103114",2007,4,12,1,2007,9,26,1,2007,5,12,9,2010,4,29,1
"309011","309101",2007,11,26,9,2007,11,26,9,2007,11,26,9,2008,11,3,14
"309011","309102",2008,11,19,8,2008,11,19,8,2008,11,19,8,2008,11,4,14
"309011","309103",2008,11,22,8,2008,11,22,8,2008,11,22,8,2008,11,3,14
"309011","309104",2008,11,26,8,2008,11,26,8,2008,11,26,8,2008,11,3,14
"309011","309105",2008,11,26,9,2008,11,26,9,2008,11,26,9,2008,11,4,14
"309011","309106",2008,11,19,9,2008,11,19,9,2008,11,19,9,2008,11,4,14
"309011","309107",2008,11,23,7,2008,11,23,10,2008,11,23,10,2008,11,4,14
"309011","309108",2008,11,30,7,2008,11,30,7,2008,11,30,7,2008,11,3,14
"309012","309109",2007,12,21,7,2007,12,21,7,2007,12,21,7,2008,11,3,14
"309012","309110",2007,12,15,9,2007,12,15,9,2007,12,15,9,2008,11,3,14
"309012","309111",2008,12,14,7,2008,12,14,7,2008,12,14,7,2008,11,4,14
"309012","309112",2007,12,18,7,2007,12,18,7,2007,12,18,7,2008,11,3,14
"309012","309113",2007,12,19,8,2007,12,19,10,2007,12,19,10,2008,11,4,14
"309012","309114",2008,12,16,8,2008,12,16,8,2008,12,16,8,2008,11,14,14
"309012","309115",2008,12,14,10,2008,12,14,10,2008,12,14,10,2008,11,4,14
"309012","309116",2008,12,21,10,2008,12,21,8,2008,12,21,10,2008,11,4,14
"309011","309117",2008,11,22,7,2008,11,22,9,2008,11,22,10,2008,11,4,14
"104021","104201",2007,5,24,14,2007,5,24,14,2007,5,24,14,2008,4,27,18
"104021","104202",2007,5,23,14,2007,5,23,14,2007,5,23,14,2008,4,23,18
"104021","104203",2007,5,20,8,2007,5,20,8,2007,5,20,8,2008,5,26,18
"104021","104204",2007,5,7,8,2007,5,7,8,2007,5,7,8,2008,8,10,18
"104021","104205",2007,5,4,8,2007,5,4,8,2007,5,4,8,2008,7,28,18
"104021","104206",2007,5,23,14,2007,5,23,14,2007,5,23,14,2008,4,25,18
"104021","104207",2007,5,24,14,2007,5,24,14,2007,5,24,14,2008,4,24,18
"104021","104208",2007,5,15,9,2007,5,15,9,2007,5,15,9,2008,5,19,18
"104021","104209",2007,5,23,14,2007,5,23,14,2007,5,23,14,2008,4,23,18
"104021","104210",2007,5,24,14,2007,5,24,14,2007,5,24,14,2008,4,26,18
"104021","104211",2007,5,13,18,2007,5,13,18,2007,5,13,18,2008,5,14,18
"104021","104212",2007,5,14,13,2007,5,14,13,2007,5,14,13,2008,5,17,18
"104021","104213",2007,10,5,18,2007,10,5,18,2007,10,5,18,2008,8,6,18
"104021","104214",2007,10,16,18,2007,10,16,18,2007,10,16,18,2008,7,16,18
"104021","104215",2007,6,23,15,2007,6,23,15,2007,6,23,15,2008,4,24,18
"104021","104216",2007,6,3,18,2007,5,3,18,2007,5,3,18,2008,9,5,18
"104021","104217",2007,5,24,13,2007,5,24,13,2007,5,24,13,2008,4,24,18
"104021","104218",2007,5,14,15,2007,5,14,15,2007,5,14,15,2008,5,14,15
"104021","104219",2007,6,16,15,2007,6,16,15,2007,6,16,15,2008,5,19,18
"104021","104220",2007,5,13,15,2007,5,13,15,2007,5,13,15,2008,5,14,18
"104021","104221",2007,5,24,18,2007,5,24,18,2007,5,24,18,2008,7,25,18
"104021","104222",2007,10,18,18,2007,10,18,18,2007,10,18,18,2008,8,10,18
"104021","104223",2007,10,27,18,2007,10,27,18,2007,10,27,18,2008,8,7,18
"104021","104224",2007,5,11,18,2007,5,11,18,2007,5,11,18,2008,3,12,18
"104021","104225",2007,5,13,13,2007,5,13,13,2007,5,13,13,2008,5,14,18
"104021","104226",2007,5,29,18,2007,5,29,18,2007,5,29,18,2008,8,10,18
"104021","104227",2007,5,5,18,2007,5,5,18,2007,5,5,18,2008,8,7,18
"104021","104228",2007,5,13,13,2007,5,13,13,2007,5,13,13,2008,5,13,18
"104021","104229",2007,5,17,4,2007,5,17,4,2007,5,17,4,2008,7,16,18
"104021","104230",2007,5,11,18,2007,5,11,18,2007,5,11,18,2008,3,11,18
"104021","104231",2007,5,17,18,2007,5,17,18,2007,5,17,18,2008,3,13,18
"104021","104232",2007,5,13,13,2007,5,13,13,2007,5,13,13,2008,5,17,18
"208011","208101",2008,1,2,3,2008,1,2,2,2008,1,2,2,2008,3,12,2
"208011","208102",2008,1,2,2,2008,1,2,2,2008,1,2,2,2008,3,12,2
"208011","208103",2008,1,3,2,2008,1,3,2,2008,1,3,2,2008,3,12,2
"208011","208104",2008,1,5,4,2008,1,5,4,2008,1,5,4,2008,3,12,2
"208011","208105",2008,1,3,1,2008,1,3,1,2008,1,3,1,2008,3,12,2
"208012","208106",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208012","208107",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208012","208108",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208012","208109",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208012","208110",2008,1,9,2,2008,1,9,2,2008,1,9,2,2008,3,10,2
"208013","208111",2008,1,23,2,2008,1,23,2,2008,1,23,2,2008,3,10,2
"208013","208112",2008,1,25,2,2008,1,25,2,2008,1,25,2,2008,3,10,2
"208013","208113",2008,1,26,2,2008,1,26,2,2008,1,26,2,2008,3,10,2
"208013","208114",2008,1,25,2,2008,1,25,2,2008,1,25,2,2008,3,10,2
"208013","208115",2008,1,27,2,2008,1,27,2,2008,1,27,2,2008,3,10,2
"207011","207101",2007,3,12,1,2007,3,13,1,2007,3,14,1,2007,5,20,1
"207011","207102",2007,3,13,1,2007,3,13,1,2007,3,14,1,2007,5,20,1
"207011","207103",2007,3,15,1,2007,3,15,1,2007,3,16,1,2007,5,20,1
"207011","207104",2007,3,15,1,2007,3,15,1,2007,3,18,1,2007,3,19,1
"207011","207105",2007,3,17,1,2007,3,17,1,2007,3,17,1,2007,5,20,1
"207011","207106",2007,3,16,1,2007,3,16,1,2007,3,18,1,2007,5,20,1
"204021","204201",2009,6,6,5,2009,6,6,5,2009,6,8,5,2010,12,6,6
"204021","204202",2009,6,22,5,2009,6,22,5,2009,6,22,5,2010,12,6,7
"306021","306201",2008,2,2,1,2008,2,2,1,2008,2,2,1,2008,12,29,6
"306021","306202",2008,2,5,2,2008,2,5,2,2008,2,5,2,2008,12,29,6
"306021","306203",2008,2,1,1,2008,2,1,1,2008,2,1,1,2008,12,29,6
"306021","306204",2008,2,9,2,2008,2,9,2,2008,2,9,2,2008,12,29,6
"306021","306205",2008,2,12,1,2008,2,12,1,2008,2,12,1,2008,2,12,6
"306021","306206",2008,2,13,1,2008,2,13,1,2008,2,13,1,2008,12,29,6
"306021","306207",2008,2,6,1,2008,2,6,1,2008,2,6,1,2008,12,29,6
"306021","306208",2008,2,1,1,2008,2,1,1,2008,2,1,1,2008,12,29,6
"306021","306209",2008,1,31,1,2008,1,31,1,2008,1,31,1,2008,12,29,6
"306021","306210",2008,2,2,1,2008,2,2,1,2008,2,2,1,2008,12,29,6
"306021","306211",2008,1,10,1,2008,1,10,1,2008,1,10,1,2008,12,29,6
"306021","306212",2008,1,30,1,2008,1,30,1,2008,1,30,1,2008,12,29,6
"306021","306213",2008,2,1,1,2008,2,1,1,2008,2,1,1,2008,12,29,6
"306021","306214",2008,2,7,1,2008,2,7,1,2008,2,7,1,2008,12,29,6
"306021","306215",2008,2,7,2,2008,2,7,2,2008,11,7,2,2008,12,29,6
"306011","306101",2007,12,13,1,2007,12,13,1,2007,12,13,1,2008,10,7,9
"306011","306102",2007,12,9,1,2007,12,9,1,2007,12,9,1,2008,10,7,9
"306011","306103",2007,12,11,1,2007,12,11,1,2007,12,11,1,2008,10,27,9
"306011","306104",2007,12,8,1,2007,12,8,1,2007,12,8,1,2008,10,7,9
"306011","306105",2007,12,10,1,2007,12,10,1,2007,12,10,1,2008,10,7,9
"306011","306106",2007,12,7,1,2007,12,7,1,2007,12,7,1,2008,10,27,9
"306011","306107",2007,12,6,1,2007,12,6,1,2007,12,6,1,2008,10,7,9
"306011","306108",2007,12,12,1,2007,12,12,1,2007,12,12,1,2008,9,29,9
"306011","306109",2007,12,14,1,2007,12,14,1,2007,12,14,1,2008,10,27,9
"306011","306110",2007,12,9,1,2007,12,9,1,2007,12,9,1,2008,10,23,9
"306011","306111",2007,12,15,1,2007,12,15,1,2007,12,15,1,2008,10,23,9
"306011","306112",2007,12,4,1,2007,12,4,1,2007,12,6,1,2008,10,22,9
"306011","306113",2007,12,5,1,2007,12,5,1,2007,12,5,1,2008,10,7,9
"306011","306114",2007,12,9,1,2007,12,9,1,2007,12,9,1,2008,10,7,9
"306011","306115",2007,12,11,1,2007,12,11,1,2007,12,11,1,2008,10,23,9
"106011","106101",2007,12,5,1,2007,12,6,1,2008,1,12,1,2009,2,1,1
"106011","106102",2007,12,5,1,2008,1,25,1,2008,4,16,1,2009,2,1,1
"106011","106103",2007,12,5,1,2008,1,21,1,2008,4,21,1,2009,2,1,1
"106011","106104",2008,2,7,1,2008,2,10,1,2008,5,18,1,2009,2,1,1
"301011","301101",2005,11,16,1,2005,11,16,2,2005,11,17,2,2006,7,20,3
"301011","301102",2005,11,15,1,2005,11,15,2,2005,11,16,2,2006,7,20,3
"301011","301103",2005,11,19,1,2005,11,19,2,2005,11,20,2,2006,7,20,3
"301011","301104",2005,11,15,1,2005,11,15,2,2005,11,16,2,2006,7,20,3
"301011","301105",2005,11,22,1,2005,11,22,2,2005,11,23,2,2006,7,20,3
"205021","205201",2008,2,24,1,2008,2,28,1,2008,3,10,2,2008,12,28,2
"205022","205202",2008,2,27,1,2008,3,2,1,2008,3,25,2,2008,12,28,2
"201011","201101",2006,12,2,5,2006,12,2,5,2006,12,3,5,2007,12,15,5
