"siteid","gvillcode","offyr","offmon","offday","offby","fgyr","fgmon","fgday","fgby","intyear","intmon","intday","intby","entyear","entmon","entday","entby"
"201011","201102",2006,12,4,5,2006,12,4,5,2006,12,5,5,2007,12,15,5
"201011","201103",2006,12,19,5,2006,12,19,5,2006,12,20,5,2007,12,27,5
"201011","201104",2006,12,20,5,2006,12,20,5,2006,12,21,5,2007,12,27,5
"201011","201105",2006,12,20,5,2006,12,20,5,2006,12,21,5,2007,12,27,5
"201011","201106",2006,12,20,5,2006,12,20,5,2006,12,21,5,2007,12,15,5
"201011","201107",2006,12,20,5,2006,12,20,5,2006,12,20,5,2007,12,27,5
"303011","303101",2006,8,2,1,2006,8,2,1,2006,8,2,1,2007,7,5,2
"303011","303103",2006,8,12,1,2006,8,12,1,2006,8,12,1,2007,7,5,2
"303011","303104",2006,8,2,1,2006,8,3,1,2006,8,3,1,2007,7,5,2
"303011","303105",2006,8,2,1,2006,8,2,3,2006,8,2,3,2007,7,5,2
"303011","303106",2006,8,10,1,2006,8,10,3,2006,8,10,1,2007,7,5,2
"303011","303108",2006,8,2,1,2006,8,11,2,2006,8,11,1,2007,7,5,2
"303011","303109",2006,8,2,1,2006,8,17,4,2006,8,17,1,2007,7,5,2
"303011","303110",2006,8,10,1,2006,8,10,1,2006,8,10,1,2007,7,5,2
"303011","303111",2006,8,2,1,2006,8,2,1,2006,8,2,1,2007,7,5,2
"303011","303112",2006,8,15,1,2006,8,15,1,2006,8,15,1,2007,7,5,2
"303011","303113",2006,8,16,1,2006,8,16,3,2006,8,16,3,2007,7,5,2
"303011","303115",2006,8,2,1,2006,8,2,4,2006,8,2,1,2007,7,5,2
"303011","303116",2006,8,2,1,2006,8,16,2,2006,8,16,1,2007,7,5,2
"303011","303117",2006,8,2,1,2006,8,2,1,2006,8,2,1,2007,7,5,2
"303011","303118",2006,8,12,1,2006,8,12,1,2006,8,12,1,2007,7,5,2
"303011","303119",2006,8,2,2,2006,8,2,2,2006,8,2,2,2007,7,5,2
"303011","303120",2006,8,2,1,2006,8,8,1,2006,8,8,1,2007,7,5,2
"303012","303121",2006,8,6,1,2006,8,6,1,2006,8,6,1,2007,7,5,1
"303012","303122",2006,8,9,1,2006,8,9,1,2006,8,9,1,2007,7,5,2
"303012","303123",2006,8,10,1,2006,8,10,1,2006,8,10,1,2007,7,5,2
"303012","303124",2006,8,8,1,2006,8,8,1,2006,8,8,1,2007,7,5,2
"303012","303125",2006,8,12,1,2006,8,12,1,2006,8,12,1,2007,7,5,2
"303012","303126",2006,8,16,1,2006,8,16,1,2006,8,16,1,2007,7,5,2
"303012","303127",2006,8,7,1,2006,8,7,1,2006,8,7,1,2007,7,5,2
"303012","303128",2006,8,9,1,2006,8,9,1,2006,8,9,1,2007,7,5,2
"303012","303129",2006,8,14,1,2006,8,14,1,2006,8,14,1,2007,7,5,2
"303012","303130",2006,8,14,1,2006,8,14,1,2006,8,14,1,2007,7,5,2
"303012","303131",2006,8,11,1,2006,8,11,1,2006,8,11,1,2007,7,5,2
"305011","305101",2006,10,10,5,2005,10,10,1,2005,10,10,1,2005,10,10,1
"305011","305102",2006,10,12,5,2005,10,12,5,2005,10,12,5,2005,10,12,5
"305012","305103",2006,10,12,3,2005,10,12,3,2005,10,12,3,2005,10,12,3
"305012","305104",2006,10,12,3,2005,10,12,3,2005,10,12,3,2005,10,12,3
"305012","305105",2006,12,10,3,2005,12,10,3,2005,12,10,3,2005,12,10,3
"101011","101101",2005,10,25,1,2005,10,10,1,-8,-8,-8,-8,2006,12,15,1
"101011","101102",2005,10,25,1,2005,10,30,1,-8,-8,-8,-8,2006,12,14,1
"101011","101103",2005,10,25,1,2005,11,15,1,-8,-8,-8,-8,2006,12,15,1
"101011","101104",2005,10,25,1,2005,11,5,1,-8,-8,-8,-8,2006,12,15,1
"101011","101105",2005,10,25,1,2005,11,20,1,-8,-8,-8,-8,2006,12,14,1
"101011","101106",2005,10,25,1,2005,12,5,1,-8,-8,-8,-8,2006,12,14,1
"101011","101107",2005,10,25,1,2005,12,10,1,-8,-8,-8,-8,2006,12,14,1
"203021","203201",2006,11,27,1,2006,11,27,1,2006,11,27,1,2009,11,5,1
"203021","203202",2006,11,26,1,2006,11,26,1,2006,11,26,1,2009,11,5,1
"308011","308101",2005,11,25,1,2005,12,12,1,2006,1,24,1,2006,12,6,1
"308011","308102",2005,11,19,1,2005,12,13,1,2006,1,15,1,2006,12,17,1
"308012","308103",2005,11,5,1,2005,12,10,1,2006,1,25,1,2006,12,15,1
"308012","308104",2005,11,6,1,2005,12,11,1,2006,1,25,1,2006,12,15,1
"202011","202101",2007,1,18,2,2007,1,18,2,2007,1,18,2,2007,12,14,1
"202011","202102",2006,12,18,1,2006,12,18,1,2006,12,18,1,2007,12,9,1
"202012","202103",2006,12,20,3,2006,12,20,3,2006,12,20,3,2007,9,5,1
"202012","202104",2006,12,20,2,2006,12,20,2,2006,12,20,2,2007,12,14,1
"202013","202105",2006,12,19,2,2006,12,19,2,2006,12,19,2,2007,12,14,1
"202013","202106",2006,12,19,3,2006,12,19,3,2006,12,19,3,2007,9,5,1
"309021","309201",2007,11,10,13,2007,11,10,13,-8,-8,-8,-8,2008,1,15,13
"309021","309202",2007,11,9,13,2007,11,9,13,-8,-8,-8,-8,2009,2,2,11
"309021","309203",2007,11,10,13,2008,11,10,13,-8,-8,-8,-8,2009,2,2,11
"309021","309204",2007,11,10,13,2007,11,10,13,-8,-8,-8,-8,2009,2,2,11
"309021","309205",2007,11,9,13,2007,11,9,13,-8,-8,-8,-8,2009,2,2,11
"309021","309206",2007,11,9,13,2007,11,9,13,-8,-8,-8,-8,2009,2,2,11
"309021","309207",2007,10,11,13,2007,10,11,13,-8,-8,-8,-8,2009,2,2,11
"309021","309208",2007,11,9,13,2007,11,9,13,-8,-8,-8,-8,2009,2,2,2
"309021","309209",2007,11,11,13,2007,11,11,13,-8,-8,-8,-8,2009,2,2,11
"304011","304101",2006,5,1,30401,2006,5,1,30401,2006,6,1,30401,2010,11,15,30401
"304012","304102",2006,5,1,30401,2006,5,2,30401,2006,6,1,30401,2010,11,15,30401
"105011","105101",2004,11,20,9,2005,9,20,9,2006,9,13,1,2007,9,17,9
"105011","105102",2005,11,20,9,2006,2,17,3,2006,2,17,3,2007,9,17,9
"105011","105103",2006,2,25,3,2006,2,25,3,2006,2,25,3,2007,9,19,9
"105011","105104",2006,2,26,3,2006,2,26,3,2006,2,26,3,2007,9,19,9
"105011","105105",2004,11,20,9,2005,8,5,12,2005,8,10,12,2007,9,25,9
"105011","105106",2004,11,20,9,2005,8,5,12,2005,8,10,12,2007,9,25,9
"105011","105107",2004,11,20,9,2005,8,5,12,2005,8,10,12,2007,9,25,9
"105011","105108",2004,11,20,9,2005,8,5,12,2005,8,10,12,2007,9,25,9
"105011","105109",2004,11,20,9,2005,8,5,12,2005,8,10,12,2007,9,25,9
"105011","105110",2004,11,20,9,2005,8,5,12,2005,8,10,12,2007,9,25,9
"105011","105111",2004,11,20,9,2005,8,5,12,2005,8,10,12,2007,9,25,9
"105011","105112",2004,11,20,9,2005,8,5,12,2005,8,10,12,2006,9,25,9
"307011","307101",2006,10,4,7,2006,10,2,7,2006,10,4,7,2008,2,13,7
"307011","307102",2006,10,6,7,2006,10,5,7,2006,10,6,7,2008,2,16,7
"307011","307103",2006,10,10,7,2006,10,9,7,2006,10,11,7,2008,2,16,7
"307011","307104",2006,10,13,7,2006,10,12,7,2006,10,13,7,2008,2,16,7
"307011","307105",2006,10,17,7,2006,10,16,7,2006,10,17,7,2008,2,16,7
"307011","307106",2006,10,20,7,2006,10,19,7,2006,10,20,7,2008,2,16,7
"307012","307107",2006,10,24,7,2006,10,23,7,2006,10,24,7,2008,2,16,7
"307012","307108",2006,11,17,7,2006,11,16,7,2006,11,17,7,2008,2,16,7
"307012","307109",2006,11,3,7,2006,11,2,7,2006,11,3,7,2008,2,16,7
"307012","307110",2006,10,31,7,2006,10,30,7,2006,10,31,7,2008,2,16,7
"307012","307111",2006,11,14,7,2006,11,13,7,2006,11,14,7,2008,2,16,7
"307012","307112",2006,10,27,7,2006,10,26,7,2006,10,27,7,2008,2,16,7
"307013","307113",2006,11,29,7,2006,11,27,7,2006,11,29,7,2008,2,16,7
"307013","307114",2006,12,8,7,2006,12,7,7,2006,12,8,7,2008,2,16,7
"307013","307115",2006,11,21,7,2006,11,20,7,2006,11,21,7,2008,2,16,7
"307013","307116",2006,11,24,7,2006,11,23,7,2006,11,24,7,2008,2,16,7
"307013","307117",2006,12,1,7,2006,11,30,7,2006,12,1,7,2008,2,16,7
"307013","307118",2006,12,5,7,2006,12,4,7,2006,12,5,7,2008,2,16,7
"102011","102101",2006,6,12,1,2006,6,15,1,2006,8,12,1,2006,12,21,6
"102011","102102",2006,3,8,1,2006,3,10,1,2006,3,12,1,2006,12,21,6
"102011","102103",2006,4,21,2,2006,6,22,2,2006,9,21,2,2006,12,21,6
"102011","102104",2006,4,10,1,2006,4,12,1,2006,4,11,1,2006,12,21,6
"102011","102105",2006,4,15,1,2006,6,14,1,2006,6,15,1,2006,12,21,6
"102011","102106",2006,5,5,1,2006,5,5,1,2006,5,7,1,2006,12,21,6
"304021","304201",2006,2,4,1,2006,2,5,1,2006,2,6,1,2006,3,10,1
"304021","304202",2006,2,4,1,2006,2,7,1,2006,2,7,1,2006,3,10,1
"304021","304203",2006,2,4,1,2006,2,8,1,2006,2,8,1,2006,3,10,1
"304022","304204",2006,2,4,1,2006,2,9,1,2006,2,9,1,2006,3,11,1
"304022","304205",2006,2,4,1,2006,2,10,1,2006,2,10,1,2006,3,12,1
"204011","204101",2006,9,15,1,2006,9,15,1,2006,9,15,1,2007,11,19,4
"204011","204102",2006,9,26,1,2006,9,26,1,2006,9,26,1,2007,11,19,4
"204013","204103",2006,9,20,2,2006,9,22,2,2006,9,22,2,2007,11,19,5
"204013","204104",2006,9,13,2,2006,9,15,2,2006,9,14,2,2007,11,19,5
"204012","204105",2006,9,11,4,2006,9,11,4,2006,9,11,4,2007,11,19,4
"204012","204106",2006,9,17,3,2006,9,17,3,2006,9,17,3,2007,11,19,5
"310011","310101",2007,11,18,8,2007,11,18,8,2007,11,18,8,2009,1,21,8
"310011","310102",2007,11,22,8,2007,11,28,8,2007,12,4,8,2009,1,22,8
"310011","310103",2007,11,24,8,2007,11,24,8,2007,11,24,8,2009,1,22,8
"310012","310104",2007,12,2,8,2007,12,1,8,2007,12,1,8,2009,1,22,8
"310012","310105",2007,12,8,8,2007,12,8,8,2007,12,7,8,2009,1,22,8
"205011","205101",2005,12,15,1,2005,12,15,1,2006,3,15,1,2006,12,15,1
"205011","205102",2005,12,10,1,2005,12,10,1,2006,3,17,1,2006,12,15,1
"205011","205103",2005,12,12,1,2005,12,12,1,2006,3,17,1,2006,12,30,1
"205012","205104",2005,12,17,1,2005,12,17,1,2006,3,19,1,2006,12,30,1
"205012","205105",2005,12,16,1,2005,12,16,1,2006,3,16,1,2006,12,30,1
"201032","201301",2007,11,21,1,2007,11,21,1,2007,11,21,1,2008,10,13,1
"201032","201302",2007,11,21,1,2007,11,23,1,2007,11,23,1,2008,10,14,1
"201032","201303",2007,11,23,1,2007,11,23,1,2007,11,23,1,2008,10,31,1
"201032","201304",2007,11,27,1,2007,11,27,1,2007,11,27,1,2008,10,31,1
"201032","201305",2007,11,21,1,2007,11,21,1,2007,11,21,1,2008,12,22,1
"201032","201306",2007,11,22,1,2007,11,22,1,2007,11,22,1,2008,12,22,1
"201032","201307",2007,11,20,1,2007,11,20,1,2007,11,20,1,2008,12,22,1
"201032","201308",2007,11,28,1,2007,11,28,1,2007,11,28,1,2008,12,22,1
"201031","201309",2007,12,27,1,2007,12,27,1,2007,12,27,1,2008,12,23,1
"201031","201310",2007,12,29,1,2007,12,29,1,2007,12,29,1,2008,12,23,1
"201031","201311",2008,1,2,1,2008,1,2,1,2008,1,2,1,2008,12,23,1
"201031","201312",2008,1,2,1,2008,1,2,1,2008,1,2,1,2008,12,23,1
"201031","201313",2008,12,30,1,2008,12,30,1,2008,12,30,1,2008,12,23,1
"201031","201314",2007,12,30,1,2007,12,30,1,2007,12,30,1,2008,12,23,1
"201021","201201",2006,11,5,1,2006,11,13,1,2006,11,10,1,2007,8,10,1
"201021","201202",2006,11,6,1,2006,11,15,1,2006,11,18,1,2007,8,10,1
"311011","311101",2007,12,13,9,2007,12,13,9,2007,12,14,9,2010,8,11,13
"311011","311102",2007,12,12,6,2007,12,13,6,2007,12,14,6,2010,8,12,13
"311012","311103",2007,11,17,9,2007,12,14,9,2007,11,15,9,2010,8,12,13
"311012","311104",2007,11,13,6,2007,12,14,6,2007,12,15,6,2010,8,12,13
"302011","302101",2007,4,27,15,2007,4,27,15,-8,-8,-8,-8,2008,2,21,16
"302011","302102",2007,5,1,15,2007,5,1,15,-8,-8,-8,-8,2008,2,21,16
"302011","302103",2007,5,2,16,2007,5,2,16,-8,-8,-8,-8,2007,12,8,16
"302012","302104",2007,5,2,16,2007,5,2,16,-8,-8,-8,-8,2008,2,5,16
"302012","302105",2007,4,15,16,2007,4,15,16,-8,-8,-8,-8,2008,2,21,16
"302011","302106",2007,4,14,16,2007,4,14,16,-8,-8,-8,-8,2008,2,8,16
"302012","302107",2007,4,14,16,2007,4,14,16,-8,-8,-8,-8,2008,2,12,16
"302012","302108",2007,4,13,16,2007,4,13,16,-8,-8,-8,-8,2008,2,5,16
"302012","302109",2007,4,7,16,2007,4,7,16,-8,-8,-8,-8,2008,2,12,16
"302012","302110",2007,4,17,16,2007,4,17,16,-8,-8,-8,-8,2008,2,5,16
"302012","302111",2007,4,13,16,2007,4,28,15,-8,-8,-8,-8,2008,2,21,16
"302012","302112",2007,4,23,16,2007,4,23,16,-8,-8,-8,-8,2008,2,12,16
"302011","302113",2007,5,7,16,2007,5,7,16,-8,-8,-8,-8,2008,2,21,16
"302012","302114",2007,4,20,16,2007,4,20,16,-8,-8,-8,-8,2008,2,5,16
"302011","302115",2007,4,21,16,2007,4,21,16,-8,-8,-8,-8,2008,2,12,16
"302011","302116",2007,4,25,16,2007,4,25,16,-8,-8,-8,-8,2008,2,12,16
"302011","302117",2007,4,21,16,2007,4,21,16,-8,-8,-8,-8,2008,2,5,16
"302012","302118",2007,9,12,15,2007,4,24,16,-8,-8,-8,-8,2008,2,21,16
"302012","302119",2007,4,23,16,2007,4,23,16,-8,-8,-8,-8,2007,12,8,16
"302012","302120",2007,5,5,16,2007,5,5,16,-8,-8,-8,-8,2008,2,5,16
"302012","302121",2007,5,4,16,2007,5,4,16,-8,-8,-8,-8,2008,2,5,16
"302012","302122",2007,5,4,16,2007,5,4,16,-8,-8,-8,-8,2008,2,5,16
