"siteid","gvillcode","for_v_type","for_v_tenu","for_v_area","for_v_user1","for_v_user2","for_v_user3","for_v_pdt1","for_v_pdt2","for_v_pdt3"
"101011","101101",10,332,-9,3,4,-8,27,51,21
"101011","101101",10,132,-9,3,4,-8,27,51,21
"101011","101101",10,332,-9,3,4,-8,27,51,21
"101011","101101",10,132,-9,3,4,-8,27,51,21
"101011","101102",10,132,-9,3,4,-8,3,21,26
"101011","101102",10,332,-9,3,4,-8,3,21,26
"101011","101102",10,332,-9,3,4,-8,21,10,-8
"101011","101103",10,332,-9,3,4,-8,10,27,21
"101011","101103",10,332,-9,3,4,-8,26,3,-8
"101011","101103",10,132,-9,3,4,-8,26,3,-8
"101011","101104",10,332,-9,3,4,-8,21,27,1
"101011","101104",10,332,-9,3,4,-8,26,3,-8
"101011","101105",10,132,-9,3,2,1,3,22,51
"101011","101105",10,132,-9,3,2,1,3,22,51
"101011","101106",10,132,-9,3,2,1,3,27,51
"101011","101106",10,332,-9,3,2,1,3,27,51
"101011","101106",10,332,-9,3,2,1,3,27,51
"101011","101106",10,132,-9,3,2,1,3,27,51
"101011","101107",10,132,-9,3,2,1,3,27,51
"101011","101107",10,332,-9,3,2,1,3,27,51
"101011","101107",10,332,-9,3,2,1,3,27,51
"101011","101107",10,132,-9,3,2,1,3,27,51
"102011","102101",10,121,110,3,4,-8,51,21,-8
"102011","102101",20,121,143,1,3,4,1,3,-8
"102011","102102",10,261,50,3,-8,-8,51,-8,-8
"102011","102102",20,361,261,1,5,-8,1,-8,-8
"102011","102103",20,121,123,1,-8,-8,1,-8,-8
"102011","102103",10,121,120,3,-8,-8,1,21,51
"102011","102104",10,221,1200,3,-8,-8,1,-8,-8
"102011","102104",30,261,50,1,4,-8,1,-8,-8
"102011","102104",20,261,367,1,-8,-8,1,-8,-8
"102011","102105",10,221,2258,3,-8,-8,51,21,-8
"102011","102105",20,221,1601,1,-8,-8,1,-8,-8
"102011","102106",10,261,6500,1,-8,-8,51,27,1
"102021","102201",20,163,655,3,-8,-8,3,51,-8
"102021","102201",10,163,2902,1,4,6,45,3,51
"102021","102202",20,163,300,3,-8,-8,3,-8,-8
"102021","102202",10,163,11269,4,3,7,21,51,-8
"102021","102202",10,163,11269,4,3,7,45,21,51
"102021","102203",10,162,500,3,-8,-8,21,-8,-8
"102021","102203",20,162,200,3,-8,-8,3,-8,-8
"102021","102203",10,162,14176,1,4,3,45,51,21
"102021","102203",10,162,50,3,-8,-8,21,-8,-8
"102021","102204",10,163,3890,4,3,-8,45,51,21
"102021","102204",20,163,300,3,-8,-8,3,51,-8
"102021","102204",10,163,800,3,-8,-8,21,-8,-8
"102021","102204",10,163,2000,3,-8,-8,21,-8,-8
"102021","102205",20,162,100,3,-8,-8,3,51,-8
"102021","102205",10,162,2000,3,-8,-8,21,-8,-8
"102021","102205",10,162,57720,4,3,-8,45,-8,-8
"102021","102206",10,162,6741,4,3,-8,45,51,21
"102021","102206",20,162,50,3,-8,-8,3,51,-8
"102021","102206",10,162,1000,3,-8,-8,21,-8,-8
"102021","102207",10,163,1000,3,-8,-8,21,-8,-8
"102021","102207",20,163,30,3,-8,-8,3,51,-8
"102021","102207",10,163,10461,4,3,7,45,1,51
"102021","102208",20,162,100,3,-8,-8,3,-8,-8
"102021","102208",10,162,18353,4,3,-8,45,51,21
"102031","102301",10,161,11410,5,3,4,-9,-8,-8
"102031","102302",10,161,8648,3,4,-8,-9,-8,-8
"102031","102303",10,161,9570,3,4,-8,-9,-8,-8
"102031","102304",10,161,5950,3,4,-8,45,-8,-8
"102031","102305",10,161,9455,3,4,-8,45,-8,-8
"102031","102306",10,161,16723,3,4,-8,-9,-8,-8
"102031","102307",10,161,17727,3,4,-8,45,-8,-8
"103011","103101",10,132,-9,3,-8,-8,-9,-8,-8
"103011","103101",10,131,-9,3,-8,-8,-9,-8,-8
"103011","103102",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103102",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103103",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103103",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103104",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103104",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103105",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103105",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103106",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103106",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103107",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103107",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103108",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103108",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103109",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103109",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103110",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103110",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103111",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103111",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103112",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103112",20,132,-9,3,-8,-8,45,-8,-8
"103011","103112",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103113",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103113",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103113",20,132,-9,3,-8,-8,45,-8,-8
"103011","103114",10,332,-9,3,-8,-8,-9,-8,-8
"103011","103114",10,331,-9,3,-8,-8,-9,-8,-8
"103011","103114",20,132,-9,3,-8,-8,45,-8,-8
"104021","104201",10,132,64,3,-8,-8,771,1,3
"104021","104201",10,332,576,3,-8,-8,771,1,3
"104021","104202",10,332,840,3,-8,-8,1,27,31
"104021","104203",10,332,450,3,-8,-8,1,21,-8
"104021","104203",10,132,50,3,-8,-8,1,21,-8
"104021","104204",10,132,200,3,4,-8,1,408,27
"104021","104204",10,332,800,3,4,-8,1,408,27
"104021","104205",10,332,973.8,3,4,-8,1,3,-8
"104021","104205",10,132,226.2,3,4,-8,1,3,-8
"104021","104206",10,232,990,3,4,-8,1,27,3
"104021","104206",10,222,4300,3,4,-8,1,27,-8
"104021","104207",10,123,9450,3,4,-8,1,777,51
"104021","104207",10,232,1000,3,4,-8,1,573,21
"104021","104208",20,121,10,3,-8,-8,770,508,345
"104021","104208",20,121,40,3,4,-8,3,352,1
"104021","104208",10,121,45,3,-8,-8,588,556,561
"104021","104209",20,132,20,4,3,-8,352,351,-8
"104021","104209",10,222,60,3,4,-8,1,-8,-8
"104021","104209",30,132,14,4,3,-8,773,785,415
"104021","104210",10,222,7230,3,4,-8,1,44,-8
"104021","104210",10,232,3774,3,4,-8,1,44,511
"104021","104211",10,122,2132.5,3,-8,-8,1,771,605
"104021","104212",10,232,360,3,4,-8,3,772,7
"104021","104212",10,222,1600,4,3,-8,1,772,-8
"104021","104213",10,232,400,4,3,-8,1,-8,-8
"104021","104213",10,232,2296,4,3,-8,1,51,21
"104021","104214",10,122,5980.68,3,-8,-8,573,588,56
"104021","104215",20,232,455,3,4,-8,21,3,1
"104021","104217",20,232,100,3,4,-8,784,773,-8
"104021","104218",10,332,10,3,4,-8,3,573,782
"104021","104219",10,332,352,3,4,-8,573,1,3
"104021","104219",10,232,24,3,4,-8,573,1,3
"104021","104220",10,132,200,3,-8,-8,3,44,771
"104021","104221",10,132,25,4,3,-8,773,9,34
"104021","104221",10,332,125,4,3,-8,773,9,34
"104021","104222",10,332,414.8,4,3,-8,1,561,44
"104021","104222",10,132,46.1,4,3,-8,1,561,44
"104021","104223",10,232,3439,3,-8,-8,1,27,51
"104021","104224",10,222,10000,3,-8,-8,1,51,56
"104021","104224",10,232,3385,4,-8,-8,1,51,56
"104021","104225",10,132,220,3,-8,-8,3,605,1
"104021","104226",10,232,5585,3,-8,-8,27,51,21
"104021","104226",10,232,19000,3,-8,-8,27,51,-8
"104021","104227",10,122,10000,3,-8,-8,-9,-8,-8
"104021","104227",10,132,6699,3,-8,-8,27,21,-8
"104021","104228",10,332,926.8,4,3,-8,1,27,21
"104021","104228",10,132,2431.2,4,3,-8,1,27,21
"104021","104229",10,132,856.4,3,-8,-8,-9,-8,-8
"104021","104229",10,332,223.6,3,-8,-8,-9,-8,-8
"104021","104230",10,232,1665,3,4,-8,51,56,3
"104021","104231",10,232,10817,3,-8,-8,1,-8,-8
"104021","104232",10,332,8.4,3,-8,-8,773,771,-8
"104021","104232",10,132,33.6,3,-8,-8,773,771,-8
"105011","105101",10,221,223,3,4,-8,3,32,23
"105011","105102",10,221,158,1,-8,-8,3,-8,-8
"105011","105103",10,121,105,1,2,-8,3,1,-8
"105011","105104",10,121,100,1,-8,-8,3,-8,-8
"105011","105104",30,121,50,2,-8,-8,1,-8,-8
"105011","105105",10,121,800,1,-8,-8,3,1,-8
"105011","105105",30,121,25,1,-8,-8,3,1,-8
"105011","105105",20,121,400,1,-8,-8,3,1,-8
"105011","105106",30,121,75,1,-8,-8,2,1,3
"105011","105106",10,121,500,1,-8,-8,3,1,-8
"105011","105106",20,121,220,1,-8,-8,3,-8,-8
"105011","105107",20,121,290,1,-8,-8,3,1,-8
"105011","105107",30,121,20,1,-8,-8,2,1,-8
"105011","105107",10,121,110,1,-8,-8,3,-8,-8
"105011","105108",10,121,700,1,-8,-8,3,-8,-8
"105011","105108",30,121,5,1,-8,-8,3,-8,-8
"105011","105109",20,121,80,1,-8,-8,3,1,-8
"105011","105109",30,121,15,1,-8,-8,2,1,-8
"105011","105109",10,121,110,1,-8,-8,3,-8,-8
"105011","105110",20,121,250,1,-8,-8,3,1,-8
"105011","105110",10,121,500,1,-8,-8,3,1,-8
"105011","105111",20,121,40,1,-8,-8,3,-8,-8
"105011","105111",10,121,130,1,-8,-8,3,1,-8
"105011","105112",30,121,4,1,-8,-8,3,-8,-8
"105011","105112",10,121,85,1,-8,-8,3,-8,-8
"106011","106101",20,131,-9,4,3,-8,510,560,504
"106011","106101",10,331,-9,3,4,-8,10,1,27
"106011","106101",30,131,-9,4,3,-8,510,504,1
"106011","106101",10,331,-9,3,4,-8,10,1,27
"106011","106101",10,331,-9,3,4,-8,10,1,27
"106011","106102",20,131,-9,4,3,-8,510,511,-8
"106011","106102",30,131,-9,4,3,-8,510,-8,-8
"106011","106102",10,131,-9,3,4,-8,1,511,510
"106011","106103",10,131,-9,3,4,-8,510,511,10
"106011","106103",10,131,-9,3,4,-8,3,760,888
"106011","106103",30,131,-9,4,3,-8,510,511,504
"106011","106103",20,131,-9,4,3,-8,510,3,508
"106011","106103",10,131,-9,3,4,-8,3,760,888
"106011","106104",20,131,-9,3,4,-8,510,1,10
"106011","106104",10,131,-9,3,4,-8,1,51,511
"106011","106104",30,131,-9,4,3,-8,510,-8,-8
"106031","106301",10,161,13981,3,4,-8,45,46,51
"106031","106301",20,161,77,3,-8,-8,3,51,-8
"106031","106302",10,161,12105,3,4,-8,45,46,51
"106031","106302",20,161,157.5,3,-8,-8,3,51,-8
"106031","106303",10,161,9359,3,4,-8,45,46,51
"106031","106303",20,161,122.4,3,-8,-8,3,51,-8
"106031","106304",10,161,182.5,3,-8,-8,3,51,-8
"106031","106304",10,161,13972.5,3,-8,-8,45,46,51
"106041","106401",-9,331,-9,-9,-9,-9,-9,-9,-9
"106041","106402",-9,331,-9,-9,-9,-9,-9,-9,-9
"106041","106403",-9,331,-9,-9,-9,-9,-9,-9,-9
"106041","106404",-9,331,-9,-9,-9,-9,-9,-9,-9
"106041","106405",-9,331,-9,-9,-9,-9,-9,-9,-9
"106041","106406",-9,331,-9,-9,-9,-9,-9,-9,-9
"106041","106407",-9,-9,-9,-9,-9,-9,-9,-9,-9
"106041","106408",-9,331,-9,-9,-9,-9,-9,-9,-9
"106041","106409",-9,331,-9,-9,-9,-9,-9,-9,-9
"106041","106410",-9,331,-9,-9,-9,-9,-9,-9,-9
"201011","201101",30,332,8,1,3,4,25,3,1
"201011","201101",20,122,7,4,2,1,2,3,1
"201011","201101",10,162,13,1,3,6,9,3,27
"201011","201102",10,162,80,1,2,3,9,3,27
"201011","201103",30,332,33,4,5,7,1,2,9
"201011","201103",10,162,40,1,3,2,9,3,2
"201011","201104",30,332,17,4,5,7,1,2,9
"201011","201104",10,162,32,1,3,2,9,3,2
"201011","201105",30,332,12,4,7,5,1,2,9
"201011","201105",10,121,44,1,2,3,9,3,2
"201011","201106",10,121,45,1,2,3,9,3,27
"201011","201106",30,332,8,4,5,7,1,2,9
"201011","201107",10,121,49,1,2,3,9,3,27
"201011","201107",30,332,12,4,5,7,1,2,9
"201021","201201",10,121,246,2,4,3,3,1,9
"201021","201201",30,132,984,2,4,3,3,1,-8
"201021","201201",20,121,132,2,4,3,3,9,1
"201021","201202",30,332,50,2,4,-8,3,1,-8
"201021","201202",10,121,60,2,4,-8,3,1,9
"201032","201301",30,362,24,3,4,6,3,25,1
"201032","201301",20,221,1,3,-8,-8,3,25,1
"201032","201302",30,362,80,3,4,-8,9,2,3
"201032","201303",20,362,40,3,6,4,3,9,1
"201032","201303",30,332,20,4,3,7,9,3,1
"201032","201304",30,362,40,3,4,8,9,1,25
"201032","201305",10,112,-9,3,6,-8,9,1,25
"201032","201305",30,362,65,1,2,3,46,3,-8
"201032","201306",30,362,48,4,3,8,2,910,877
"201032","201306",20,112,16,3,4,7,9,1,878
"201032","201307",30,362,40,3,4,-8,907,9,878
"201032","201308",30,362,40,4,3,7,1,9,3
"201032","201308",10,261,8,3,1,-8,9,1,878
"201031","201309",10,112,20,3,4,6,2,9,878
"201031","201309",30,362,80,3,4,6,1,9,3
"201031","201310",10,362,60,3,4,-8,1,9,3
"201031","201310",30,332,80,3,6,-8,1,3,9
"201031","201311",10,362,58,3,-8,-8,9,3,2
"201031","201311",30,331,2,3,2,-8,907,908,3
"201031","201312",10,362,138,3,-8,-8,1,9,3
"201031","201312",20,332,40,3,-8,-8,1,9,3
"201031","201313",30,362,40,3,-8,-8,1,9,3
"201031","201314",30,362,80,3,4,7,907,9,3
"202011","202101",30,131,500,2,6,7,660,581,582
"202011","202101",10,122,127,8,2,-8,3,-8,-8
"202011","202102",30,131,344,2,5,-8,659,660,581
"202011","202102",10,122,200,2,-8,-8,3,-8,-8
"202012","202103",10,122,2467,2,-8,-8,659,3,-8
"202012","202103",30,131,239,2,4,7,660,581,582
"202012","202104",30,131,100,2,7,-8,581,580,582
"202012","202104",10,122,667,2,-8,-8,3,-8,-8
"202013","202105",10,122,4750,2,-8,-8,3,-8,-8
"202013","202105",30,131,422,2,7,3,659,580,581
"202013","202106",10,122,321,2,-8,-8,3,-8,-8
"202013","202106",30,131,568,2,7,-8,580,581,582
"203011","203101",20,122,50,3,1,-8,3,9,33
"203011","203101",20,112,750,3,1,-8,3,9,33
"203011","203102",20,112,285,3,1,-8,3,33,5
"203011","203102",20,122,25,3,1,-8,3,33,5
"203011","203103",20,112,251,3,1,-8,3,33,9
"203011","203103",20,122,80,3,1,-8,3,33,9
"203021","203201",20,122,800,3,1,-8,3,9,33
"203021","203202",20,122,100,3,-8,-8,3,33,1
"203021","203202",20,112,134,3,-8,-8,3,33,1
"204011","204101",10,172,16000,3,6,4,3,8,51
"204011","204101",20,172,9047,3,6,4,3,8,51
"204011","204102",10,172,225,3,6,4,3,8,51
"204013","204103",30,112,5725,3,-9,-9,3,-9,-9
"204013","204104",10,111,360,3,6,-9,56,34,-9
"204012","204105",10,262,20,3,4,-9,3,25,21
"204012","204105",10,172,50,3,4,6,1,51,3
"204012","204106",30,262,24,3,4,5,1,3,21
"204012","204106",10,172,277,1,2,3,1,51,21
"204021","204202",10,262,150,1,2,-9,3,24,-9
"205011","205101",10,121,665.9,1,2,-8,5,3,1
"205011","205101",10,121,233.5,1,2,-8,9,23,33
"205011","205102",10,121,60.2,1,3,-8,9,23,33
"205011","205102",10,121,1005,1,3,-8,3,1,5
"205011","205103",10,121,224,1,7,-8,5,3,1
"205011","205103",10,121,37.7,1,3,-8,27,23,33
"205012","205104",10,121,78.3,1,7,-8,3,5,1
"205012","205104",10,121,20.7,1,3,-8,27,23,33
"205012","205105",10,121,251.1,1,3,-8,9,23,33
"205012","205105",10,121,1770.7,1,7,-8,3,5,1
"205021","205201",10,122,3572.96,3,1,4,35,2,1
"205021","205201",20,121,297.04,2,3,2,3,2,1
"205022","205202",20,121,217,3,2,1,3,2,33
"205022","205202",30,331,3.3,3,-8,-8,3,1,2
"205022","205202",10,122,850.7,3,2,1,3,1,33
"207011","207101",30,212,50,2,-8,-8,21,574,3
"207011","207101",10,112,4970.08,2,-8,-8,59,52,3
"207011","207102",30,212,26.75,2,1,-8,29,3,1
"207011","207102",10,112,3232.14,2,1,-8,59,27,33
"207011","207103",10,111,3146.28,2,1,-8,59,3,33
"207011","207104",10,112,989.7,6,2,-8,56,27,1
"207011","207104",30,112,1685.5,2,-8,-8,3,-8,-8
"207011","207104",10,111,718.56,2,1,-8,53,59,33
